MRT	0x00000029
vi_loops_10	0x048666AA
vi_loops_11	0x048666AB
vi_effects_0	0x048666B0
vi_effects_1	0x048666B1
vi_effects_2	0x048666B2
vi_effects_3	0x048666B3
vi_effects_4	0x048666B4
vi_effects_5	0x048666B5
vi_effects_6	0x048666B6
vi_effects_7	0x048666B7
vi_effects_8	0x048666B8
vi_effects_9	0x048666B9
vi_effects_10	0x048666BA
vi_effects_11	0x048666BB
vi_effect_limbs_0	0x048666C0
vi_effect_limbs_1	0x048666C1
vi_effect_limbs_2	0x048666C2
vi_effect_limbs_3	0x048666C3
vi_effect_limbs_4	0x048666C4
vi_effect_limbs_5	0x048666C5
vi_effect_limbs_6	0x048666C6
vi_effect_limbs_7	0x048666C7
vi_effect_limbs_8	0x048666C8
vi_effect_limbs_9	0x048666C9
vi_effect_limbs_10	0x048666CA
vi_effect_limbs_11	0x048666CB
ufoVelocityFactorZoomedOut	0x04867421
editorAnimInfo	0x048676C2
planetCameraDistanceInterpolationRate	0x048775D9
planetCameraTerrainInterpolationRate	0x048775E6
planetCameraFOVInterpolationRate	0x048775E8
vi_actor_sequences	0x04877BF5
editorPlayAnimBabyName	0x04879CA4
editorPlayAnimBabySpeed	0x04879CA5
editorPlayAnimBabyDelay	0x04879CA6
vi_actor_offsets	0x04879D5A
vi_name	0x0487A133
toolCulturalRewardCount	0x0488BB2C
toolMilitaryRewardCount	0x0488BB52
toolEconomicRewardCount	0x0488BB57
spaceTransitionEconomicReward	0x0488BD8D
spaceTransitionCulturalReward	0x0488BD91
spaceTransitionMilitaryReward	0x0488BD95
modelWarpCursorToPinPoint	0x0489164A
vi_min_happy	0x048A40A6
vi_max_happy	0x048A40A7
creatureHealthPointsPerCarcassPerSec	0x048A66EA
creatureHealthPointsPerFruit	0x048A66EE
modelTypesToSnapReplace	0x048E2A2E
modelMaxWidth	0x048F5B53
modelMinWidth	0x048F5B54
eventCinematicAutoDeleteEvent	0x048F914E
modelReplaceSnapDelta	0x049218C6
missionMinBuildingsForAdditionalPlanet	0x04935A7F
missionBuildingsPerAdditionalPlanet	0x04935A80
modelHideRotationHandles	0x0493691F
associatedPartUnlocks2	0x04973416
CasualsCreatureOpp	0x0499EB12
planetTransitionTime	0x049A1D5E
TerrariumInvUnlockLevel	0x049A1E30
vi_actor_orientations	0x049A2146
vi_city_specialty	0x049A3514
spacePirateMoneyPenalty	0x049B293F
ufoPlumpTransitionScale	0x049B3D7E
modelPreloads	0x049B48EE
LightDurationRound1	0x049B51D4
LightDurationRound2	0x049B51D9
LightDurationRound3	0x049B51E3
LightDurationRound4	0x049B51E7
LightDurationRound5	0x049B51F7
LightDurationRound6	0x049B51FF
LightDurationRound7	0x049B5205
LightDurationRound8	0x049B520D
LightDurationRound9	0x049B5212
LightDurationRound10	0x049B521A
terraformClearFloraRadius	0x049B71DE
lightingCel	0x049B94D4
planetCelRange	0x049B94D5
modelLightStrength	0x049FC837
modelLightColor	0x049FC838
modelLightSize	0x049FC839
modelLightOffset	0x049FC83A
ufoSolarSpeed	0x04A06D7B
ufoSolarAcceleration	0x04A06D84
ufoGalaxySpeed	0x04A06D8B
ufoGalaxyAcceleration	0x04A06D94
planetTransitionEnable	0x04A0B118
lategameTools	0x04A1B727
lategameTutorialMissionsToComplete	0x04A1B728
lategameDistance	0x04A1B729
lategameOutposts	0x04A1B72A
lategameT1Colony	0x04A1B72B
lategameT2Colony	0x04A1B72C
lategameT3Colony	0x04A1B72D
lategameAllies	0x04A1B72E
lategameEnemies	0x04A1B72F
lategameMoney	0x04A1B730
verbTrayLayout	0x04A20FE1
verbIconLayout	0x04A20FE7
verbIcons	0x04A20FEB
verbTrayJustification	0x04A213B2
badgeInitiallyHidden	0x04A310D1
modelActsLikeGrasper	0x04A3386D
modelActsLikeFoot	0x04A33896
creatureAbilityRangeMin	0x04A35EE9
badgeDescriptionString	0x04A37DFB
badgeHintAction	0x04A37DFC
creatureAbilityRushingAnimationID	0x04A3B2F8
creatureAbilityRushingRange	0x04A3B36C
universeSimulatorMinTimeBetweenDisasters	0x04A4B35F
planetTransitionCheatToDaylightOnce	0x04A4BB05
planetTransitionCheatToDaylightAlways	0x04A4BB09
planetTransitionZoomControl	0x04A4BB1C
planetTransitionEnterOnDaySide	0x04A4BB23
planetTransitionExitOnNightSide	0x04A4BB27
creatureAbilityEffectDamage	0x04A4CE5A
modelSound	0x04A5B8D2
spaceTerraformT2ColonyMaxBuildings	0x04A5D46D
spaceTerraformT1ColonyMaxBuildings	0x04A5D473
universeSimulatorMinTimeAfterColonyPlacement	0x04A5E5BB
grobShockDuration	0x04A5E5BC
grobThresholdNotAware	0x04A5E5BD
grobThresholdAware	0x04A5E5BE
grobThresholdVeryAware	0x04A5E5BF
grobThresholdExtremelyAware	0x04A5E5C0
grobAwarenessDecayRate	0x04A5E5C1
grobAwarenessAdjustmentAngeredGrob	0x04A5E5C2
grobAwarenessAdjustmentVisitedGrobPlanet	0x04A5E5C3
grobAwarenessAdjustmentVisitedGrobStar	0x04A5E5C4
grobAwarenessAdjustmentVisitedStarNearGrob	0x04A5E5C5
grobAwarenessAdjustmentEnteredGrobStar	0x04A5E5C6
grobAwarenessAdjustmentAttackedGrobUFO	0x04A5E5C7
grobAwarenessCap	0x04A5E5D0
grobDetectionRadius	0x04A5E5D1
grobDelayBetweenHighAwarenessUpdates	0x04A5E5D2
verbTrays	0x04AA3838
verbTrayCollection	0x04AA3989
verbCollectionAnimateValues	0x04AA4002
vi_vox	0x04AB07C9
creatureAbilityRushingSpeed	0x04AB0DAF
TScoreTribePlanet	0x04AB1BB7
TScoreCivPlanet	0x04AB1BC0
TScoreColonyPlanet	0x04AB1BC8
TScoreEmpireHomeWorld	0x04AB1BCE
TScoreGrobPlanet	0x04AB1BCF
spaceEconomyHomeWorldBuildingMultiply	0x04AB4745
verbIconImageGroup	0x04AB54C1
verbTrayIcon	0x04AB611C
TerrariumModuleGround	0x04AB7609
verbIconCategory	0x04ABBB0D
verbTrayOverrideCategory	0x04ABC0F1
secondsBetweenColonySimulatorTicks	0x04AC8850
creatureAbilityAttackStatSumValueRange	0x04AC8D53
creatureAbilitySocialStatSumValueRange	0x04AC8D56
tribeRepairDelay	0x04ACAC4D
verbIconRolloverLayout	0x04ACEA45
verbTrayName	0x04ACEDF4
verbTrayDescription	0x04ACEDF9
terrainLightEnabled	0x04ADACD8
terrainLightStrength	0x04ADACD9
terrainLightSize	0x04ADACDA
terrainLightHeightDropoff	0x04ADACDB
paletteItemIsDraggable	0x04ADB304
BuildingLink0	0x04AF5171
BuildingLink1	0x04AF5174
BuildingLink2	0x04AF5178
BuildingLink3	0x04AF517A
BuildingLink4	0x04AF517E
BuildingLink5	0x04AF5181
BuildingLink6	0x04AF5183
BuildingLink7	0x04AF5186
BuildingLink8	0x04AF5189
BuildingLink9	0x04AF518C
BuildingLink10	0x04AF518E
BuildingLink11	0x04AF5191
BuildingLink12	0x04AF545E
BuildingLink13	0x04AF5466
BuildingLink14	0x04AF5469
BuildingLink15	0x04AF546C
eventRemoveTime	0x04B2DF7C
verbCollectionLayoutStyle	0x04B43AA3
grobHintChanceLow	0x04B5E5C5
grobHintChanceHigh	0x04B5E5C6
grobHintT1	0x04B5E5C7
grobHintT2	0x04B5E5C8
meaningOfLifeHintChanceLow	0x04B5E5C9
meaningOfLifeHintChanceHigh	0x04B5E5CA
meaningOfLifeHintT1	0x04B5E5CB
meaningOfLifeHintT2	0x04B5E5CC
paletteOutfitWhichEditor	0x04B8E99D
CasualCombatAnimIDs	0x04BD8026
CasualCombatAnimSpeedScales	0x04BD8044
verbTrayRepresentativeAnimation	0x04BDC904
verbTrayLargeSwatchCollection	0x04BEF1EE
verbTraySmallSwatchCollection	0x04BEF203
empireLinesMaxAngle	0x04BF0DAC
empireLinesMaxDetour	0x04BF0DBD
verbIconShowRollover	0x04BF1B5F
modelUseInBaseCollisionCalc	0x04BF2278
highlightCurve	0x04C08536
highlightLife	0x04C08537
verbIconShowLevel	0x04C1AB51
modelBakeTextureSize	0x04C6BA29
modelBakeQuality	0x04C6BA3C
obstacleBaseRadiusCalcHeights	0x04C6DF19
spaceTerraformIceThreshold	0x04C6EE01
toolProjectileEccentricity	0x04C6EFB4
modelWindowTransforms	0x04C71061
modelDoorTransforms	0x04C71062
verbIconHasCharge	0x04C8B6AE
verbIconForceEnabled	0x04C8B6B3
spaceCityAngerTime	0x04C94363
TerrariumInvName	0x04C98240
TerrariumInvCost	0x04C98265
paletteAssetSwatchEditTooltip	0x04CA3377
modelToolAnimGroups	0x04CACCCE
spaceToolDetailDescription	0x04CAD19B
verbTrayIsHealthBar	0x04CB27FD
CostToBuyCityModifier	0x04CD6EFE
ConversionConversionGroupPowerModifier	0x04CD7226
ConversionConversionGroupSizeModifier	0x04CD7227
BaseConversionStrength	0x04CD7228
CrowdReationModifier	0x04CD7229
CrowdReationOffset	0x04CD722A
CrowdDPSOffset	0x04CD722B
CrowdDPSModifier	0x04CD722C
CrowdDPSBase	0x04CD722D
CrowdConvertOffset	0x04CD722E
HarvestMinLoad	0x04CD86A3
HarvestMaxLoad	0x04CD86A4
HarvestResourceLoss	0x04CD86A5
MilitaryProb	0x04CDA095
CulturalProb	0x04CDA096
MilitaryProbMajorNPC	0x04CDA097
CulturalProbMajorNPC	0x04CDA098
MilitaryProbMinorNPC	0x04CDA099
CulturalProbMinorNPC	0x04CDA09A
SecondsNextCity	0x04CDAD7D
terrainScriptModelType	0x04CE873A
CityHappyIncome	0x04CE8C24
CityBoredIncome	0x04CE8C25
CityTiredIncome	0x04CE8C26
spaceDefaultMainTool	0x04CEC9C3
spaceDefaultWeaponTool	0x04CEC9CA
spaceDefaultCargoTool	0x04CEC9CE
verbIconRolloverImage	0x04D036B3
obstacleOcclusionObjectRadiusMultiplier	0x04D04A47
toolMinimapSlotsToggleEffect	0x04D164AA
verbTrayTypeToSingleOut	0x04D16CC0
verbTrayShowVerbIconWhenCollapsed	0x04D1A4EE
toolDamagesFriendlies	0x04D4190D
ufoSolarMinPlump	0x04D7DBE9
ufoSolarMaxPlump	0x04D7DBEA
ufoGalaxyMinPlump	0x04D7DBEB
ufoGalaxyMaxPlump	0x04D7DBEC
eventCinematicAutoStart	0x04D7F317
verbIconRepresentativeAnimation	0x04D7FF37
tribeFeedbackActivationDistance	0x04D80588
runTribeGameBehaviors	0x04D805BE
missionThreshold	0x04D805BF
tribeFeedbackDeactivationDistance	0x04D8076D
TurretThumbnail	0x04D83D74
editorDefaultModelName	0x04D92F82
ufoGalaxyMinPlumpDistance	0x04D972E7
ufoGalaxyMaxPlumpDistance	0x04D972E9
ufoBaseDamagePush	0x04DAAEFC
verbIconTriggerKey	0x04DAD031
editorMaxBakedBlocks	0x04DBC51F
modelBlockAssemblyBlockCount	0x04DBCDD2
CityCivilianOverallScale	0x04DBF457
CityCivilianSizeRange	0x04DBF458
CityCivilianMinRadius	0x04DBF459
CityCivilianMaxRadius	0x04DBF45A
ufoMaxDamagePush	0x04DC0642
verbTrayCollectionSporepediaSmallCard	0x04DC41D2
tuningSpineHandleColor	0x04DC44CB
tuningSpineHandleSize	0x04DC44CC
tuningSpineHandleAlpha	0x04DC44CD
tuningSpineHandleOverdrawAlpha	0x04DC44CE
tuningSpineHandleDistance	0x04DC44CF
ufoDamageVelocityDecayRate	0x04DCFBA7
TerrariumInvXMLFileName	0x04DD703A
terrainThemeFlora	0x04E13CB7
modelForcePinningAgainstType	0x04E2BF28
toolPlacedModelKey	0x04E3ECA1
ufoMaxVerticalTilt	0x04E6A105
paletteTribeToolImageList	0x04EA47B4
ufoUberTurretScale	0x04EA4823
ufoVerticalTiltFactor	0x04EA5863
ufoUberTurretVelocityFactor	0x04EA6ACF
grobUFOInstance	0x04EA8A07
GrobCityHallInstance	0x04EA8F1A
OptionTutorialsEnabled	0x04EA96CB
modelAllowAsymmetricalRotationOnPlaneOfSymmetry	0x04EB8E7A
paletteTribeToolDisabledImageList	0x04EB9E2D
modelRigBlockAMTag	0x04EBB27E
modelNumberOfSnapAxes	0x04ECE315
modelLockedAbilityList	0x04ECF388
modelCreateNewAbilityList	0x04ECF389
modelMainAbilityList	0x04ECF38A
TerrariumBadgeIconOff	0x04ED02D2
TerrariumBadgeIconOn	0x04ED02D3
toolMeaningOfLifeRewardCount	0x04ED2F4F
meaningOfLifeRewardTools	0x04ED333F
TerrariumBadgeEnum	0x04ED4312
modelCircularTopAlignment	0x04ED4C40
modelRemainUprightOnTop	0x04ED8506
TerrariumBadgeTooltip	0x04EE6C47
AmbOccViewWindow	0x04EE8A87
carryBundleAmountMax	0x04EE9169
obstacleObjectExclusionRadius	0x04EE9F45
AmbOccSamplesType	0x04EFAF18
AmbOccSamplesZOffset	0x04EFBDC8
AmbOccSamplesInvert	0x04EFD359
vi_capture_event	0x04F38120
vi_time_of_day	0x04F38139
universeSimulatorHappinessDisasterMinTime	0x04F3B63E
universeSimulatorHappinessDisasterFrequency	0x04F3B63F
toolDoActionPostEffect	0x04F4C626
modelCapabilityWing	0x04F4D188
modelCapabilityGlide	0x04F4E1B4
ufoCollisionElasticity	0x04F639FC
modelSnapAxisPickHeightPercent	0x04F7AE2C
modelSnapAxisRotation	0x04F7B20C
modelSnapAxes	0x04F7DC1D
TerrariumBadgeType	0x04F8C0A8
loyaltyBoosterTimeBonusFactor	0x04F8E875
bioStabilizerInfectionTimeBonusFactor	0x04F8E87B
bioStabilizerCollapseTimeBonusFactor	0x04F8E88B
uberTurretProtectionFactor	0x04F8E892
TerrariumBadgeOrder	0x04F8F83A
TerrariumBadgeTooltip2	0x04FCF3FF
CasualsBigMomentInterval	0x04FD5ACC
tuningVertebraTorsoRolloverColor	0x04FE1603
tuningVertebraTorsoSelectedColor	0x04FE1604
tuningVertebraHighlightColor	0x04FE1605
tuningVertebraUnselectedColor	0x04FE1606
tuningVertebraFadeTime	0x04FE1607
InlandModelSmallIntroEffectID	0x04FE5F63
InlandModelLargeIntroEffectID	0x04FE5F6A
CoastalModelSmallIntroEffectID	0x04FE5F70
CoastalModelLargeIntroEffectID	0x04FE5F75
TerrariumBadgeIconDim	0x04FEA946
inventoryItemExtraEffect	0x04FF6215
modelStaticEffectKeys	0x04FF954A
CastingManager_AnimalsAtMaxDensity	0x04FF9582
CastingManager_AnimalStageMaxSlope	0x04FFCCF5
CastingManager_AnimalStageHerdDistances	0x05008313
CastingManager_AnimalStageHerdTerritory	0x05008412
CastingManager_AnimalStageHerdPositionTries	0x0500849F
modelAlternativeStaticEffectModel	0x0501197B
CastingManager_CityRadiusBuffer	0x0508AF89
vi_effects_general	0x0508D625
vi_effects_general_offsets	0x0508D626
CastingManager_DistanceThresholds	0x0509BEB7
spaceEconomyTradeSpecialsOffered	0x050B6163
spaceEconomyTradeMaxSpiceBought	0x050B6164
timelineImages	0x050B6764
timelinePositions	0x050B6794
timelineRotations	0x050B67A1
timelineScales	0x050B67B9
timelineLayerOrders	0x050B67C7
timelineCircleNumber	0x050B68C1
tuningEditorHandleColorDefault	0x050FC187
tuningEditorOverdrawHandleColorDefault	0x050FC188
tuningEditorHandleColorRollover	0x050FC189
tuningEditorOverdrawHandleColorRollover	0x050FC18A
tuningEditorHandleColorActive	0x050FC18B
tuningEditorOverdrawHandleColorActive	0x050FC18C
tuningEditorHandleAlphaDefault	0x050FC1D0
tuningEditorOverdrawHandleAlphaDefault	0x050FC1D1
tuningEditorHandleAlphaRollover	0x050FC1D2
tuningEditorOverdrawHandleAlphaRollover	0x050FC1D3
tuningEditorHandleAlphaActive	0x050FC1D4
tuningEditorOverdrawHandleAlphaActive	0x050FC1D5
tuningEditorHandleDefaultScale	0x050FC24D
editorSpineHandleTuningFile	0x050FC283
editorBallConnectorHandleTuningFile	0x050FC284
editorRotationBallHandleTuningFile	0x050FC285
editorRotationRingHandleTuningFile	0x050FC286
editorDeformHandleTuningFile	0x050FC287
tuningEditorHandleDefaultModel	0x050FC326
tuningEditorHandleDefaultOverdrawModel	0x050FC327
tuningEditorHandleHasOverdraw	0x050FC33E
tuningEditorHandleAnimateInTime	0x050FC37A
tuningEditorHandleAnimateOutTime	0x050FC37B
tuningEditorHandleFadeInTime	0x050FC37C
tuningEditorHandleFadeOutTime	0x050FC37D
spaceTradingRequires	0x05107706
spaceTradingRequiresAnd	0x05107707
spaceTradingRequiresOr	0x05107708
spaceTradingRequiresBadge	0x05107709
spaceTradingRequiresBadgeAnd	0x0510770A
spaceTradingRequiresBadgeOr	0x0510770B
dialogButton0	0x05107B17
dialogButton1	0x05107B18
dialogButton2	0x05107B19
dialogButton3	0x05107B1A
vi_protest_event	0x05107C07
editorAnimationInterruptDistance	0x05107F8A
dialogOKButton	0x05108509
dialogSelectedButton	0x0510A385
CastingManager_MaxVisualizedTribes	0x0511F4A9
editorUseBoundsForDelete	0x05134BDF
Ter_Inv_CanPickup	0x0518BB40
Ter_Inv_CanThrow	0x0518BB41
Ter_Inv_CanTwirl	0x0518BB42
Ter_Inv_CanClimb	0x0518BB43
Ter_Inv_CanAttemptEat	0x0518BB44
Ter_Inv_CanEat	0x0518BB45
Ter_Inv_CanPoke	0x0518BB46
Ter_Inv_CanSleepOn	0x0518BB47
Ter_Inv_CanRcvFromUser	0x0518BB48
Ter_Inv_CanPush	0x0518BB49
Ter_Inv_IsFoodDish	0x0518BB4A
Ter_Inv_IsAmbientCreature	0x0518BB4B
Ter_Inv_EatValue	0x0518BB4C
Ter_Inv_ExcludeCreatureCheck	0x0518BB4D
Ter_Inv_InfiniteMass	0x0518BB4E
Ter_Inv_PinnedToFloor	0x0518BB4F
Ter_Inv_CanCollide	0x0518BB50
Ter_Inv_Cylindrical	0x0518BB51
Ter_Inv_PlacementRestricted	0x0518BB52
Ter_Inv_Rotation	0x0518BB53
Ter_Inv_CursorHeightOfsScale	0x0518BB54
Ter_Inv_OffsetClickPos	0x0518BB55
Ter_Inv_ClickPosOffsetRadius	0x0518BB56
Ter_Inv_InMouthOffset	0x0518BB57
Ter_Inv_InMouthRot	0x0518D236
Ter_Inv_Movable	0x05190356
modelAimPoints	0x0519E304
Ter_Inv_Axis	0x051A065B
Ter_Inv_CanToss	0x051A0F42
Ter_Inv_PokeRotation	0x051A1610
Ter_Inv_PokeAxis	0x051A1631
animalPenPosition	0x051ADF81
RelationshipSpaceDecayPeriod	0x051C61A5
RelationshipCivDecayPeriod	0x051C61C2
SpiceMinePumpOffset	0x051CAE56
SpiceMinePumpRadius	0x051CAE57
toolAbility	0x051CDDBC
editorModelTranslationOptions	0x051CE36A
editorTranslateModelOnSave	0x051CF3D3
accessoryEffectSmoke	0x051DD6A1
creatureAbilityConeDist	0x051DDDD5
creatureAbilityConeRadius	0x051DDDDA
creatureAbilityAnimationIDs	0x052047F7
creatureAbilityFollowerAnimationIDs	0x05204800
modelDefaultMouseOffset	0x0520F199
toolTerraformingIconKey	0x0521ABF7
modelAmbientOcclusion	0x0521FC0E
hintConditionsPresent	0x0522DE07
hintConditionsAbsent	0x0522DE08
hintConditionsCancel	0x0522DE09
hintPeriod	0x0522DE0A
hintLife	0x0522DE0B
hintWait	0x0522DE0C
hintPriority	0x0522DE0D
hintText	0x0522DE0E
hintIcon	0x0522DE10
hintFlashWindow	0x0522DE11
hintTextColor	0x0522DE12
hintType	0x05234CE1
creatureSimulationLOD_MinDistanceLow	0x052583BC
creatureSimulationLOD_MinDistanceMed	0x052583D4
editorCreatureIdleActivationTime	0x0525EA2E
RelationshipEventCompliment	0x0526E4E5
RelationshipEventTrade	0x0526E4EE
RelationshipEventGift	0x0526E4F2
RelationshipEventBuyCityOver	0x0526E4F5
RelationshipEventJoinedAlliance	0x0526E4F8
RelationshipEventBribeNode	0x0526E4FB
RelationshipEventInsult	0x0526E4FE
RelationshipEventHostility	0x0526E501
RelationshipEventReligion	0x0526E504
RelationshipEventBuyCityUnder	0x0526E50A
RelationshipEventDemandRejected	0x0526E50E
RelationshipEventDeclaredWar	0x0526E512
RelationshipEventSpaceMissionComplete	0x0526E519
RelationshipEventSpaceMissionFailed	0x0526E51C
RelationshipEventSpaceMissionRejected	0x0526E51D
RelationshipEventSpaceMissionAborted	0x0526E51E
RelationshipEventSpaceGiveGift	0x0526E51F
RelationshipEventSpaceBreakAlliance	0x0526E521
RelationshipEventSpaceCreateAlliance	0x0526E524
RelationshipEventSpaceTradeComplete	0x0526E527
RelationshipEventSpaceTradeDeclined	0x0526E52A
RelationshipEventSpaceCityPanicked	0x0526E52D
RelationshipEventSpaceTerraformWorsened	0x0526E531
RelationshipEventSpaceTerraformImproved	0x0526E535
RelationshipEventSpaceTerraformExtinction	0x0526E537
RelationshipEventSpaceDestroyBuilding	0x0526E53C
RelationshipEventSpaceDestroyAllyUFO	0x0526E542
RelationshipEventSpaceBadToolUse	0x0526E545
RelationshipEventSpaceGoodToolUse	0x0526E56A
RelationshipEventSpaceFloodCity	0x0526E5CF
RelationshipEventSpaceAbductCitizen	0x0526E5D4
RelationshipEventSpaceStealCommodity	0x0526E5D8
RelationshipEventSpaceCheatGood	0x0526E5DC
RelationshipEventSpaceCheatBad	0x0526E5F3
RelationshipEventSpaceNewEmpireAndCTMGOwner	0x0526E5F4
badgeMissionRewardMultiplier	0x052B1F40
badgeMissionDurationMultiplier	0x052B1F59
badgeHintEnabled	0x052B1F60
paintRegionMapping	0x052C57AA
numPartsToRandomlyUnlock	0x052C6CC0
numPartsToRandomlyUnlock2	0x052C6CC1
numPartsToRandomlyUnlock3	0x052C6CC2
numPartsToRandomlyUnlock4	0x052C6CC3
numPartsToRandomlyUnlock5	0x052C6CC4
numPartsToRandomlyUnlock6	0x052C6CC5
numPartsToRandomlyUnlock7	0x052C6CC6
numPartsToRandomlyUnlock8	0x052C6CC7
associatedRandomPartUnlocks	0x052C6CDA
associatedRandomPartUnlocks2	0x052C6CDB
associatedRandomPartUnlocks3	0x052C6CDC
associatedRandomPartUnlocks4	0x052C6CDD
associatedRandomPartUnlocks5	0x052C6CDE
associatedRandomPartUnlocks6	0x052C6CDF
associatedRandomPartUnlocks7	0x052C6CE0
associatedRandomPartUnlocks8	0x052C6CE1
palettePageIgnoreOverrideThumbnailGroup	0x052C798E
numberOfBaseRadCalcsToAvg	0x052D8D4A
spaceTerraformT3ColonyMaxBuildings	0x052F046E
universeSimBuildingsForTargetingHomePlanet	0x052F0F6A
classifierList	0x052F1C91
classifierTypes	0x052F2304
classifierWeights	0x052F2455
modelBakeTextureDXT	0x052F7B17
IllegalCharacters	0x05304E04
minnumblocks	0x0530593E
nounDefinition_HasAttractorEffect	0x05309C7D
RelationshipEventTribeAttack	0x0530CF00
RelationshipEventTribeKill	0x0530CF01
RelationshipEventTribeRaid	0x0530CF02
RelationshipEventTribeStealBaby	0x0530CF03
RelationshipEventTribeAttackToolOrHut	0x0530CF04
RelationshipEventTribeDestroyTool	0x0530CF05
RelationshipEventTribeGift	0x0530CF06
RelationshipEventTribeSocial	0x0530CF07
RelationshipEventTribeRecruit	0x0530CF08
RelationshipEventTribeConvert	0x0530CF09
RelationshipEventTribeCheatGood	0x0530CF0A
RelationshipEventTribeCheatBad	0x0530CF0B
RelationshipTribeDecayPeriod	0x053194F7
modelHavokShape	0x0532D802
editorTransition	0x0534192A
editorTransitionAnimation	0x053419DA
editorTransitionEffect	0x053419F1
editorTransitionHideUI	0x05341B56
editorTransitionCenterCamera	0x05341B5A
AMTuningVersion	0x0534676F
toolTerrainColorIndex	0x0535A500
toolWaterColorIndex	0x0535A50B
terrainAtmosphereType	0x0536250C
terrainWaterType	0x0536250D
terrainWaveFreqAmp	0x0536250E
modelDefaultScale	0x0536C50C
editorNamePrompt	0x05371343
tribeMatingTimers	0x0537293A
palettePagePartPriority	0x05383435
validEditorKeys	0x053878D0
modelIsAllowedOutOfBounds	0x0538A895
editorMinPlayableHeight	0x0538B031
editorMinPlayableWidth	0x0538B032
editorMinPlayableDepth	0x0538B033
editorMinPlayableHeightAboveGround	0x0538B034
toolAtmosphereColorIndex	0x053D4C67
plannerNamePrompt	0x053EFDEA
spaceUIStarmapFilterZoom	0x054030EE
verbIconIgnoreTriggerKey	0x05407D4B
terrainAllowUnderwaterModels	0x05408A6C
creatureAbilityRecharge	0x05417D08
editorZCorp3D2RealWorldRatio	0x0542ED1B
activeXactMin	0x05433C88
activeXactMax	0x05433CA3
spaceTerraformZooSpecies	0x05469BF8
spaceEconomyTravelFuelCost	0x054818BA
verbIconUseDescription	0x05483E7F
spaceEconomyFuelRechargeTime	0x05490C40
CastingManager_UpdateTime	0x054BA6B0
solarSpeedMultiplier	0x054FC890
IdentityColors	0x05515FFD
RelationshipEventSpaceUpliftedCiv	0x055165F5
weatherStormThreshold	0x05517B69
averageMoonOrbitPeriodRocky	0x0551979B
modelCapabilityPerch	0x0551BF16
vehicleNames	0x05527D05
buildingNames	0x05527D06
vehicleNamesFallback	0x05529C6A
buildingNamesFallback	0x05529C6B
vehicleNamesWordOne	0x05529F2C
vehicleNamesWordTwo	0x05529F2D
vehicleNamesWordThree	0x05529F2E
buildingNamesWordOne	0x05529F3C
buildingNamesWordTwo	0x05529F3D
buildingNamesWordThree	0x05529F3E
editorRandomNameType	0x0552AB54
weatherColdStormLoopbox	0x0552C0BA
weatherWarmStormLoopbox	0x0552C0BF
weatherHotStormLoopbox	0x0552C0C2
minNameLength	0x0553C23A
maxNameLength	0x0553C24B
colonizationWeightsNormal	0x0553CC2E
outpostWeightsNormal	0x0553CC2F
attackWeightsNormal	0x0553CC30
selfColorWeights	0x0553CC31
selfRelationshipWeights	0x0553CC32
interactiveOrnamentIsPickable	0x0553ECCA
archetypeWarrior	0x055500BF
archetypeTrader	0x055500CD
archetypeScientist	0x055500D5
archetypeShaman	0x055500DC
archetypeBard	0x055500E2
archetypeZealot	0x055500E9
archetypeDiplomat	0x055500EE
archetypeEcologist	0x055500F6
tradeCaptureBadOfferDelta	0x05556581
tradeCaptureVeryBadOfferDelta	0x05556595
tradeCaptureGoodOfferDelta	0x0555659A
tradeCaptureCostBuildingCountFactor	0x0555659D
tradeCaptureCostTurretCountFactor	0x055565A7
tradeCapturePerMS	0x055565AA
tradeCaptureDistanceFactor	0x055565AC
tradeCaptureOfferPrices	0x055565B4
tradeCaptureDistanceBase	0x055570E8
tradeCaptureMinRate	0x055570F0
tradeCaptureMaxRate	0x055570F3
creatureAbilityRangedDamage	0x0558E32A
creatureAbilityRazeDamage	0x0558E337
RelationshipEventSpaceBadSystemPurchaseOffer	0x05590199
RelationshipEventSpaceGoodSystemPurchaseOffer	0x055901B3
missionVisibleToPlayer	0x05590946
MaxVehicleStatLimit	0x055962F7
MaxVehicleStatTotal	0x05596301
ToolClub	0x05597B70
ToolAxe	0x05597B71
ToolSpear	0x05597B72
ToolHorn	0x05597B73
ToolMaraca	0x05597B74
ToolDidgeridoo	0x05597B75
ToolHeal	0x05597B76
ToolGather	0x05597B77
ToolFish	0x05597B78
ToolFirepit	0x05597B79
UpgradeHut	0x05597B7A
dialogEscButton	0x055A7C84
dialogEnterButton	0x055A7C85
colorpickerAddCustomColor	0x055A847E
colorpickerAddDefaultColor	0x055A847F
colorPickerAllowExpansion	0x055AA173
weatherColdLocalStormEffect	0x055AB884
weatherWarmLocalStormEffect	0x055AB88B
weatherHotLocalStormEffect	0x055AB88E
editorAllowNameEdit	0x055ACE95
spaceMilitaryCaptureFactor	0x055B9CCE
empireDetectionRadius	0x055B9D9C
empireAwarenessDecayRate	0x055B9D9F
empireAwarenessCap	0x055B9DA2
empireThresholdExtremelyAware	0x055B9DA4
empireThresholdVeryAware	0x055B9DA5
empireThresholdAware	0x055B9DA7
empireThresholdNotAware	0x055B9DA9
empireAwarenessAdjustmentVisitedStarNearEmpire	0x055B9DB4
